repo_name,provider,has_pipeline_state,run_started_at,run_completed_at,run_duration_sec,pipeline_completed,n_stages,stage_sequence
align-failures-taxonomy-344e-gemini,codex,True,2026-05-12T01:47:34.446436,2026-05-12T02:10:21.753519,1367.307083,True,2,resource_finder|experiment_runner
talkie-generalization-e993-claude,codex,True,2026-05-12T01:52:19.963185,2026-05-12T04:02:36.658399,7816.695214,True,2,resource_finder|experiment_runner
llm-judgment-impact-9fb4-claude,codex,True,2026-05-12T01:55:15.886005,2026-05-12T03:14:53.591108,4777.705103,True,2,resource_finder|experiment_runner
distinct-persona-ai-b685-gemini,codex,True,2026-05-16T19:32:03.505061,2026-05-16T19:58:02.300111,1558.79505,True,2,resource_finder|experiment_runner
llm-loopholes-research-1dc8-gemini,codex,True,2026-05-16T19:33:11.289730,2026-05-16T19:49:28.615856,977.326126,True,2,resource_finder|experiment_runner
distinct-persona-ai-5094-codex,codex,True,2026-05-17T04:13:31.892572,2026-05-17T04:42:26.521072,1734.6285,True,2,resource_finder|experiment_runner
llm-loopholes-research-9e63-codex,codex,True,2026-05-17T21:19:05.649692,2026-05-17T21:51:34.920295,1949.270603,True,2,resource_finder|experiment_runner
llm-persona-dislike-e5f8-gemini,codex,True,2026-05-18T00:34:14.819444,2026-05-18T01:33:43.588216,3568.768772,True,2,resource_finder|experiment_runner
llm-loopholes-research-570f-claude,codex,True,2026-05-18T00:48:01.990287,2026-05-18T02:05:02.856773,4620.866486,True,2,resource_finder|experiment_runner
distinct-persona-ai-12e6-claude,codex,True,2026-05-18T00:48:22.988204,2026-05-18T02:47:25.254807,7142.266603,True,2,resource_finder|experiment_runner
llm-persona-dislike-c0d6-codex,codex,True,2026-05-18T02:09:23.878017,2026-05-18T02:31:16.589021,1312.711004,True,2,resource_finder|experiment_runner
llm-persona-dislike-1529-claude,codex,True,2026-05-18T02:25:53.150304,2026-05-18T03:25:18.491720,3565.341416,True,2,resource_finder|experiment_runner
novel-bio-mechanisms-c075-claude,codex,True,2026-05-19T16:30:36.261878,2026-05-19T18:21:10.860416,6634.598538,True,2,resource_finder|experiment_runner
